cod_ibge,municipio,pop2016,govpop2015,mortalidade2015,tx_homicidios2015,despesa2016,enem_media2015,enem_desvpad2015,transf2016,ideb_i2015,ideb_f2015
521870,Rianápolis,4808.0,0.04553049289891395,,0.0004177109440267335,14079884.52,471.451677852349,103.3761934824578,1895484.18,6.3,
110029,Santa Luzia D'Oeste,8362.0,0.04547585560243788,,,31942408.55,435.1053639846742,80.97178313106795,7709808.86,6.1,
110180,Vale do Paraíso,8138.0,0.06038148463127203,0.015873015873015872,0.00012149192078726765,19006619.43,441.45418719211835,86.16131209932712,3412416.22,4.8,4.0
130400,Silves,9147.0,0.04547957273428037,0.0099009900990099,0.00022024006166721728,20832987.97,401.90594059405936,65.40836157829085,7885586.8,4.4,3.9
150616,Rio Maria,17721.0,0.04301499605367009,0.00964630225080386,,38416483.13,415.61719901719886,68.50340179980131,11996541.23,4.8,4.0
150775,Sapucaia,5678.0,0.09003042777877215,,0.00017898693395382138,19880186.28,420.6306122448982,75.09662285728795,5235908.56,3.7,2.7
170025,Abreulândia,2555.0,0.052382827884994085,,,9904151.24,413.01132075471696,63.66590278216601,1641330.3,4.7,
170310,Barrolândia,5622.0,0.05606141760399928,,0.00017853954650955183,14504526.28,423.03333333333313,76.64894526034792,4090720.5,5.3,
170320,Bernardo Sayão,4525.0,0.05692850838481906,0.018867924528301886,0.00022065313327449248,,421.0483870967743,73.12158018778844,2534440.76,4.9,
170410,Centenário,2835.0,0.0816981805208705,,,,398.4978260869564,52.981998993915894,2145923.57,3.9,2.7
170460,Chapada de Areia,1402.0,0.12598425196850396,,,8091646.21,413.96,48.703780368901775,1293950.51,,
170625,Crixás do Tocantins,1694.0,0.09047619047619047,,,9209474.75,412.33918918918914,67.28993455550588,1130448.62,4.7,
170720,Dois Irmãos do Tocantins,7294.0,0.03245686113393592,0.05555555555555555,0.0001369487811558477,17721040.11,401.2691358024691,56.96813943331683,6225639.62,4.8,
170730,Dueré,4725.0,0.06395595086827616,,0.00042354934349851756,13729404.25,405.6397727272725,78.79965945981134,3231659.55,4.7,
170980,Ipueiras,1918.0,0.09569377990430622,,0.000531632110579479,,403.54166666666674,63.39860728594204,1055176.48,3.7,
171150,Jaú do Tocantins,3791.0,0.06833289018877957,0.020408163265306117,,13910562.63,439.80869565217387,68.01787943405257,3259081.9,5.0,4.7
171395,Muricilândia,3470.0,0.07486163705214098,0.06521739130434782,,,420.6576923076922,69.54506888583002,2198167.44,,
171525,Novo Jardim,2674.0,0.06452830188679247,,0.0003773584905660377,,416.3538461538463,81.30807273762977,1711596.23,3.3,
171720,Piraquê,3038.0,0.08545034642032333,,0.0003299241174529858,,419.3377777777778,68.87000365936105,2348200.46,4.6,
171855,Riachinho,4561.0,0.06238938053097345,,0.00022123893805309726,13507818.67,418.0108695652172,62.96414897684557,3415494.66,4.1,2.9
172085,Sucupira,1921.0,0.09210526315789473,0.041666666666666664,,9013077.73,425.36800000000005,50.691819852911166,1155534.27,4.6,
172097,Talismã,2757.0,0.08184143222506395,,0.0003653635367190354,12349578.76,434.6096153846153,85.13486937890316,2550955.65,4.5,5.2
210050,Alto Parnaíba,10979.0,0.05786783497626871,0.01058201058201058,,29795493.53,415.00640000000016,65.89900477000711,9397617.7,4.7,3.9
210173,Belágua,7350.0,0.07603464870067372,0.025510204081632654,,,399.39506172839515,55.43391764352076,12593260.9,3.6,3.2
210240,Cajapió,10975.0,0.06479363045666697,0.006622516556291391,,,402.8192982456141,64.47158687192724,11947474.61,3.2,3.1
210312,Central do Maranhão,8534.0,0.08736829643660471,,0.00035515567657156387,19117326.42,408.01214953271017,65.12261107816397,11469615.76,4.0,3.6
210710,Morros,19116.0,0.04710106663850458,0.0078125,,,405.09379084967316,59.86899846927032,24444605.87,3.9,3.4
210825,Pedro do Rosário,24748.0,0.06561797752808989,0.02109704641350211,0.0001634320735444331,51266683.23,413.4271676300575,63.090143257353326,35690634.03,4.0,3.4
210955,Ribamar Fiquene,7652.0,0.05690629517676436,0.0136986301369863,0.0001314233144959916,17951525.99,419.5911392405062,60.15206838286424,8514315.93,4.5,4.0
210975,Santa Filomena do Maranhão,7645.0,0.05227032734952482,,0.0003959873284054911,,401.62075471698097,55.07240464393761,9066334.13,4.0,3.1
211027,Santo Amaro do Maranhão,15623.0,0.05424390243902439,0.012578616352201259,,28880686.09,414.9508771929823,60.64497129902568,17173480.44,4.0,2.9
211080,São Félix de Balsas,4484.0,0.07237715803452856,,,11787088.69,433.3961538461537,73.21995072803168,5098104.04,3.8,2.9
211195,Sucupira do Riachão,5556.0,0.05147191620010836,,,16762918.99,426.4666666666666,59.5542540455129,7504244.68,3.6,3.5
220180,Bocaina,4440.0,0.07957619477006311,0.07894736842105263,0.0002254283137962128,,470.16590909090917,106.63062077542972,4252168.45,,4.3
220202,Buriti dos Montes,7909.0,0.03749389350268687,0.011494252873563218,,17581585.46,447.36893939393934,73.39761850305476,10120533.49,6.5,5.7
220207,Cajazeiras do Piauí,3485.0,0.07346585998271392,,,10788632.19,404.9194805194806,59.79295425611582,3461127.75,,3.9
220213,Campo Grande do Piauí,5823.0,0.049301844509567316,0.020202020202020204,,13281288.14,444.40522388059713,79.60085135484208,6156312.58,5.1,5.1
220275,Colônia do Gurguéia,6345.0,0.05068102629078239,0.01282051282051282,,17181803.12,412.9909547738693,61.88455379639374,6882138.95,4.4,3.3
220460,Hugo Napoleão,3815.0,0.05481248360870705,,,12483505.77,423.0041237113402,77.67996030391541,4802292.26,4.8,4.3
220470,Inhuma,15056.0,0.031175219356554106,0.0091324200913242,,25385804.4,445.06,90.46217739177813,11504131.04,5.0,4.1
220510,Itaueira,10837.0,0.05421130402659771,,0.00018470631695603992,24170731.05,437.05597826086967,83.65849240838159,9159901.3,4.0,3.7
220525,Jardim do Mulato,4422.0,0.06368993653671805,,,,423.3867924528302,72.93686255342678,4833853.22,3.7,3.3
220540,Joaquim Pires,14105.0,0.04203649790527587,0.015957446808510637,0.000213022793438898,27899410.1,423.93155555555563,66.10443462119089,15052604.55,4.5,3.8
220556,Lagoa do Barro do Piauí,4580.0,0.053723520419305525,,,12293107.97,420.03829787234076,56.391155462812435,5594298.22,4.5,3.5
220635,Milton Brandão,6513.0,0.044499002608562224,,0.00015344483658124905,,437.5432432432434,72.38780030940043,6542402.45,3.5,3.3
220695,Novo Santo Antônio,2930.0,0.07292589312075583,,,15647556.58,433.4088235294117,69.53920130400003,5730992.73,3.9,3.6
220710,Olho D'?gua do Piauí,2409.0,0.06875,,0.0004166666666666667,9149189.37,435.25000000000017,85.76663798048861,3136860.08,5.5,3.9
220735,Pajeú do Piauí,3321.0,0.05955259975816201,0.07407407407407407,,,441.8179487179488,69.3360773458639,4410694.88,5.3,5.0
220865,Queimada Nova,8821.0,0.03979081400636653,0.010526315789473684,0.00011368804001819008,15966011.47,439.5186666666668,86.19292893386441,9993822.0,3.7,3.6
220885,Riacho Frio,4248.0,0.05221072436500472,0.013333333333333334,,13177366.56,408.2538461538462,60.30068960495532,5226587.72,3.9,3.9
220915,Santa Cruz dos Milagres,3940.0,0.06698930208863982,,,10582761.11,425.4051724137931,73.03790513707149,3332969.93,5.4,4.1
220930,Santa Luz,5741.0,0.04895960832313342,,,,424.38782608695664,67.18622737392997,5634019.44,4.5,4.1
220985,São João da Canabrava,4529.0,0.06389564448374972,,,15252452.97,447.0395348837209,90.28859321867287,4962575.72,5.7,4.7
221037,São Luis do Piauí,2597.0,0.08439306358381503,0.03448275862068965,,8982725.86,442.4491803278689,79.7087879365691,2764056.36,,4.2
221140,Várzea Grande,4329.0,0.036917397323488685,0.022222222222222227,,12896318.09,446.0828947368422,77.84529853182383,4936533.28,4.2,4.0
