codigo,latitude,longitude,municipio,uf,bolsapib,rural,analfabetismo,saneamentoruim
1500347,"394,64511","-750,41496",agua azul do norte,PA,"14,29","80,54","11,77","96,71"
1500404,"-119,08068","-59,292176",alenquer,PA,"30,54","47,32","15,60","90,29"
1500503,"11,877595","31,428911",almeirim,PA,"9,84","40,61","13,79","66,44"
1500602,"12,692994","-716,69363",altamira,PA,"13,12","15,12","12,49","96,62"
1500701,"449,46266","-91,689655",anajas,PA,"51,79","61,65","32,98","97,84"
1500800,"625,14244","-148,48424",ananindeua,PA,"11,14","0,25","3,44","77,47"
1500859,"299,65424","-442,45153",anapu,PA,"27,16","52,13","19,19","99,92"
1500909,"838,4036","-111,84355",augusto correa,PA,"48,59","54,96","26,26","91,93"
1500958,"697,8461","-248,20194",aurora do para,PA,"36,96","69,23","23,45","89,02"
1501006,"-224,02292","-405,76965",aveiro,PA,"46,11","79,94","13,74","97,58"
1501105,"424,65594","-262,95852",bagre,PA,"46,69","55,33","23,98","97,28"
1501204,"478,08959","-346,98698",baiao,PA,"36,40","49,69","13,93","83,88"
1501253,"371,50238","-829,2648",bannach,PA,"14,02","62,63","18,28","99,29"
1501303,"597,12322","-166,43631",barcarena,PA,"2,29","63,65","8,52","84,35"
1501402,"616,61553","-137,83836",belem,PA,"5,12","0,86","3,33","46,56"
1501451,"-110,34711","-352,90466",belterra,PA,"35,47","58,01","12,40","89,69"
1501501,"637,0814","-148,88617",benevides,PA,"7,09","44,02","6,83","88,71"
1501576,"580,65819","-561,22294",bom jesus do tocantins,PA,"26,98","46,67","21,14","94,42"
1501600,"745,38075","-154,44008",bonito,PA,"39,54","71,92","21,80","93,62"
1501709,"807,42264","-114,1553",braganca,PA,"38,10","35,86","15,69","94,31"
1501725,"146,10437","-364,11291",brasil novo,PA,"21,08","56,03","17,83","98,95"
1501758,"616,70298","-637,25874",brejo grande do araguaia,PA,"31,68","41,12","19,74","98,80"
1501782,"514,22194","-414,17573",breu branco,PA,"18,71","44,17","20,26","97,62"
1501808,"375,23412","-124,21431",breves,PA,"34,79","49,86","24,74","94,82"
1501907,"657,75126","-181,66661",bujaru,PA,"42,42","68,48","14,57","92,47"
1501956,"841,10255","-222,08348",cachoeira do piria,PA,"59,12","79,11","28,83","99,13"
