country,abbr,area,population,independence,monarchy,catholic,protestant,marxist,energy,radios,tvs,civwar,intwar,war,nyt,vanderbilt,facts,riots,strikes,protests,coups76,coups77,coups78,coups79,coups80
Guinea,GNEA,246000,5145,1958,0,0,0,0,57,264,116,0,0,0,212,0,7,0.01,0.01,0.01,0,0,0,0,0
"Guinea, Equatorial",EQGN,28000,274,1968,0,1,0,0,94,3175,364,0,0,0,14,0,2,,,,0,0,0,1,0
Guinea-Bissau,GNBS,36000,772,1974,0,0,0,0,40,323,0,0,0,0,33,0,2,,,,0,0,0,0,1
Guyana,GYNA,215000,759,1966,0,0,0,0,891,3992,0,0,0,0,166,14,8,,,,0,0,0,0,0
Haiti,HATI,28000,5009,1840,0,1,0,0,37,209,319,0,0,0,303,26,35,0.01,0.01,2,0,0,0,0,0
Honduras,HNDS,112000,3691,1838,0,1,0,0,133,1416,1761,0,0,0,180,0,11,1,0.01,5,0,0,1,0,0
Hong Kong,HGKG,,,,0,99,99,0,,,,0,0,0,748,18,7,,,,,,,,
Hungary,HNGR,93000,10709,1918,0,1,0,1,2695,4986,31001,0,0,0,569,13,23,0.01,0.01,0.01,0,0,0,0,0
Iceland,ICLD,103000,228,1918,0,0,1,0,3350,7105,28508,0,0,0,193,4,5,,,,0,0,0,0,0
India,INDA,3.30E+06,676255,1947,0,0,0,0,130,384,443,0,0,0,1924,85,109,50,6,71,0,0,0,0,0
Indonesia,INDS,1.90E+06,147490,1949,0,0,0,0,158,1017,2034,0,0,0,457,11,22,0.01,0.01,3,0,0,0,0,0
Iran,IRAN,1.60E+06,39291,1775,0,0,0,0,831,1781,5090,1,1,1,6614,1796,624,123,12,63,0,0,0,0,0
Iraq,IRAQ,435000,13320,1932,0,0,0,0,416,1681,4879,0,1,1,2248,322,49,2,0.01,1,0,0,0,0,0
Ireland,IRLD,70000,3401,1921,0,1,0,0,2092,3754,23081,0,0,0,1200,32,24,3,1,18,0,0,0,0,0
Israel,ISRL,20770,3871,1948,0,0,0,0,1656,2454,23249,1,0,1,4750,434,331,18,13,88,0,0,0,0,0
Italy,ITLY,301000,56432,1861,0,1,0,0,2347,6024,38984,0,0,0,2960,168,226,59,9,99,0,0,0,0,0
Ivory Coast,IVCT,322000,8262,1960,0,0,0,0,109,663,3631,0,0,0,131,5,5,0.01,0.01,0.01,0,0,0,0,0
Jamaica,JMCA,11424,2192,1962,1,0,1,0,880,3280,7664,0,0,0,1081,26,36,10,1,10,0,0,0,0,0
Japan,JPAN,370000,117060,1775,1,0,0,0,2439,6765,53818,0,0,0,4240,200,232,7,2,12,0,0,0,0,0
Jordan,JRDN,98000,3190,1946,1,0,0,0,442,1680,5360,0,0,0,2034,180,36,0.01,0.01,0.01,0,0,0,0,0
Kenya,KNYA,583000,15843,1963,0,0,1,0,78,410,410,0,0,0,475,37,16,3,2,3,0,0,0,0,0
Kiribati,KIRI,719,58,1979,0,1,0,0,224,1379,0,0,0,0,9,0,1,,,,,,,0,0
"Korea, North",KORN,121000,17914,1945,0,0,0,1,1896,837,,0,0,0,240,29,36,0.01,0.01,1,0,0,0,0,0
"Korea, South",KORS,98000,37436,1945,0,0,0,0,1015,5342,16828,0,0,0,1015,57,92,16,3,38,0,0,0,0,0
Kuwait,KWAT,17818,1356,1961,0,0,0,0,4717,2876,26032,0,0,0,670,28,35,,,,0,0,0,0,0
Laos,LAOS,237000,3410,1954,0,0,0,1,46,1026,0,0,0,0,194,5,8,8,0.01,18,0,0,0,0,0
Lebanon,LBNN,10400,2399,1943,0,0,0,0,742,5777,31263,1,0,1,1000,76,84,5,17,23,0,0,0,0,0
Lesotho,LSTO,30000,1339,1966,1,0,0,0,,224,0,0,0,0,31,0,2,1,0.01,0.01,0,0,0,0,0
Liberia,LBRA,111000,1836,1847,0,0,1,0,287,1824,1276,0,0,0,104,7,21,2,0.01,1,0,0,0,0,1
Libya,LBYA,1.80E+06,3238,1951,0,0,0,0,1404,617,5095,0,1,1,1184,147,54,2,0.01,5,0,0,0,0,0
Liechtenstein,LIEC,160,25,1866,1,1,0,0,,5200,28000,0,0,0,66,1,4,,,,0,0,0,0,0
Luxembourg,LXBG,2586,364,1890,1,1,0,0,10406,5109,24725,0,0,0,277,21,10,,,,0,0,0,0,0
Madagascar,MDGS,587000,8714,1960,0,0,0,0,49,1836,103,0,0,0,37,0,0,4,0.01,0.01,0,0,0,0,0
Malawi,MLWI,118000,6207,1964,0,0,1,0,32,418,0,0,0,0,38,0,2,0.01,0.01,0.01,0,0,0,0,0
Malaysia,MLYS,330000,13745,1957,1,0,0,0,573,4110,8730,0,0,0,191,4,8,0.01,0.01,2,0,0,0,0,0
Maldives,MLDV,298,153,1965,0,0,0,0,,457,653,0,0,0,9,0,0,,,,0,0,0,0,0
Mali,MALI,1.20E+06,6816,1960,0,0,0,0,20,139,0,0,0,0,82,0,0,0.01,2,0.01,0,0,0,0,0
Malta,MLTA,316,337,1964,0,1,0,0,958,5192,59940,0,0,0,101,0,3,,,,0,0,0,0,0
Mauritania,MRTN,1.00E+06,1529,1960,0,0,0,0,130,981,0,0,0,0,42,3,1,0.01,0.01,1,0,0,1,0,1
Mauritius,MRTS,2045,959,1968,0,0,0,0,208,2711,9593,0,0,0,29,0,1,,,,0,0,0,0,0
Mexico,MXCO,2.00E+06,66846,1820,0,1,0,0,1332,3006,11238,0,0,0,3036,117,101,6,5,12,0,0,0,0,0
Monaco,MONA,2,26,1775,0,1,0,0,,4230,66615,0,0,0,149,1,2,,,,0,0,0,0,0
Mongolia,MNGL,1.60E+06,1635,1921,0,0,0,1,1142,1033,366,0,0,0,85,0,2,0.01,0.01,0.01,0,0,0,0,0
Morocco,MRCO,711000,19791,1956,0,0,0,0,243,1515,4496,0,0,0,366,6,17,0.01,1,0.01,0,0,0,0,0
Mozambique,MZBQ,802000,12130,1975,0,0,0,1,58,253,11,1,0,1,198,3,14,,,,0,0,0,0,0
Namibia,NAMB,824000,1009,1990,0,0,1,0,,,,0,0,0,190,1,0,,,,,,0,0,0
Nauru,NAUR,21,7,1968,0,99,99,0,5714,5714,0,0,0,0,8,0,1,,,,0,0,0,0,0
Nepal,NPAL,141000,14551,1775,1,0,0,0,7,206,0,0,0,0,132,0,1,11,1,8,0,0,0,0,0
Netherlands,NTHL,34000,14144,1775,1,0,0,0,4344,7504,39946,0,0,0,1254,24,76,3,0.01,13,0,0,0,0,0
Netherlands Antilles,NANT,993,231,,0,99,99,0,,7575,18614,0,0,0,74,0,1,,,,0,0,0,0,0
New Zealand,NZLD,269000,3100,1905,1,0,0,0,2417,8887,33387,0,0,0,482,8,21,0.01,0.01,2,0,0,0,0,0
Nicaragua,NCRG,130000,2570,1838,0,1,0,0,248,817,4153,1,0,1,493,21,60,34,10,15,0,0,0,1,0
Niger,NGER,1.30E+06,5612,1960,0,0,0,0,33,445,89,0,0,0,88,0,6,0.01,0.01,0.01,0,0,0,0,0
Nigeria,NGRA,924000,70379,1960,0,0,0,0,110,994,781,1,0,1,409,8,22,10,20,6,0,0,0,0,0
Norway,NRWY,387000,4091,1905,1,0,1,0,4504,6599,34954,0,0,0,678,29,35,0.01,0.01,3,0,0,0,0,0
Oman,OMAN,311000,962,1775,1,0,0,0,462,3118,3638,0,0,0,281,27,9,,,,0,0,0,0,0
Pakistan,PKST,804000,82441,1947,0,0,0,0,152,667,1137,1,0,1,1266,156,90,47,12,35,0,1,0,0,0
Panama,PNMA,76000,1831,1903,0,1,0,0,466,1649,12288,0,0,0,866,71,28,8,2,6,0,0,0,0,0
Papua New Guinea,PPNG,462000,3011,1975,1,0,1,0,211,664,0,0,0,0,42,1,5,,,,0,0,0,0,0
Paraguay,PRGY,407000,2937,1811,0,1,0,0,138,646,2315,0,0,0,166,4,9,0.01,0.01,2,0,0,0,0,0
Peru,PERU,1.30E+06,17403,1821,0,1,0,0,442,1341,5142,0,0,0,436,36,68,27,18,4,0,0,0,0,0
Philippines,PHLP,300000,48099,1946,0,1,0,0,222,504,2182,1,0,1,722,0,69,5,0.01,21,0,0,0,0,0
Poland,PLND,312000,35578,1918,0,1,0,1,3910,2983,24593,0,0,0,2141,294,184,1,1,24,0,0,0,0,0
Portugal,PRTG,92000,9763,1775,0,1,0,0,780,1700,15773,0,0,0,472,17,35,129,9,155,0,0,0,0,0
Puerto Rico,PRTR,,,,0,99,99,0,,,,0,0,0,828,49,33,,,,,,,,
Qatar,QTAR,11000,250,1971,1,0,0,0,17832,4000,32000,0,0,0,127,6,8,,,,0,0,0,0,0
Romania,RMNA,238000,22201,1878,0,0,0,1,3224,1774,18400,0,0,0,15,12,25,0.01,1,5,0,0,0,0,0
Rwanda,RWND,26000,5122,1962,0,1,0,0,13,341,0,0,0,0,20,0,0,0.01,0.01,1,0,0,0,0,0
Saint Kitts and Nevis,STKI,,,1983,1,0,1,0,,,,0,0,0,37,0,0,,,,,,,,
Saint Lucia,STLU,616,120,1979,1,1,0,0,266,7083,7500,0,0,0,73,4,1,,,,,,,0,0
Saint Vincent and the Grenadines,STVI,389,98,1979,1,0,1,0,142,4285,5102,0,0,0,355,1,2,,,,,,,0,0
San Marino,SMAR,61,20,1775,0,1,0,0,,5000,30000,0,0,0,48,0,0,,,,0,0,0,0,0
Sao Tome,STPR,964,93,1975,0,1,0,0,118,1612,0,0,0,0,11,0,0,,,,0,0,0,0,0
Saudi Arabia,SDAR,2.20E+06,9441,1925,1,0,0,0,918,2648,22243,0,0,0,1741,129,101,2,0.01,1,0,0,0,0,0
Senegal,SNGL,196000,5665,1960,0,0,0,0,173,635,141,0,0,0,139,2,5,0.01,0.01,0.01,0,0,0,0,0
Senegambia,SEGA,,,,0,99,99,0,,,,0,0,0,0,0,0,,,,,,,,
Seychelles,SYCH,429,64,1976,0,1,0,0,531,3281,0,0,0,0,25,0,1,,,,0,1,0,0,0
Sierra Leone,SRLE,72000,3333,1961,0,0,0,0,66,1074,630,0,0,0,57,0,4,1,0.01,3,0,0,0,0,0
Singapore,SNGP,620,2413,1965,0,0,0,0,2924,3729,31081,0,0,0,383,1,7,0.01,0.01,0.01,0,0,0,0,0
Solomon Islands,SOLO,27556,228,1978,1,0,1,0,153,877,0,0,0,0,23,0,1,,,,,,0,0,0
Somalia,SMLA,638000,4507,1960,0,0,0,1,45,193,5,0,1,1,260,26,11,0.01,0.01,0.01,0,0,0,0,0
South Africa,SAFR,1.20E+06,29285,1910,0,0,1,0,2047,2731,6863,1,0,1,1294,53,171,5,21,87,0,0,0,0,0
Soviet Union,USSR,2.20E+07,264822,1775,0,0,0,1,3927,4908,31341,1,0,1,6341,1299,520,7,1,74,0,0,0,0,0
Spain,SPAN,505000,37272,1775,1,1,0,0,1784,2602,25283,0,0,0,1512,45,141,177,114,366,0,0,0,0,0
Sri Lanka,SRLK,66000,14630,1947,0,0,0,0,73,993,239,0,0,0,144,3,6,7,1,2,0,0,0,0,0
Sudan,SDAN,2.50E+06,18691,1956,0,0,0,0,45,1872,2589,0,0,0,217,2,6,1,0.01,1,0,0,0,0,0
Suriname,SRNM,163000,355,1975,0,0,0,0,1997,5323,11442,0,0,0,54,0,7,,,,0,0,0,0,1
Swaziland,SWAZ,17363,547,1968,1,0,1,0,,1480,182,0,0,0,33,0,1,,,,0,0,0,0,0
Sweden,SWDN,450000,8320,1775,1,0,1,0,3683,8413,46033,0,0,0,1034,27,46,1,0.01,3,0,0,0,0,0
Switzerland,SWTZ,41000,6365,1775,0,0,0,0,2609,8075,36135,0,0,0,1190,40,86,2,0.01,5,0,0,0,0,0
Syria,SYRA,185000,8979,1943,0,0,0,0,733,1995,4287,1,0,1,735,74,68,3,0.01,3,0,0,0,0,0
Taiwan,TWAN,36000,17783,1949,0,0,0,0,787,1124,20244,0,0,0,740,44,36,3,0.01,2,0,0,0,0,0
Tanzania,TNZN,945000,18492,1961,0,0,0,0,37,156,38,0,1,1,268,4,18,1,2,2,0,0,0,0,0
Thailand,TLND,514000,46816,1775,1,0,0,0,257,1399,2136,0,0,0,542,39,45,8,10,16,1,1,0,0,0
Togo,TOGO,56000,2587,1960,0,0,0,0,66,483,386,0,0,0,58,0,7,0.01,0.01,0.01,0,0,0,0,0
Tonga,TONG,748,92,1970,0,0,1,0,119,2173,0,0,0,0,19,0,1,,,,0,0,0,0,0
Transkei,TRAN,,,,0,99,99,0,,,,0,0,0,12,0,4,,,,,,,,
Trinidad and Tobago,TRNT,5128,1079,1962,0,0,0,0,3782,2873,19462,0,0,0,179,0,1,0.01,0.01,0.01,0,0,0,0,0
Tunisia,TNSA,164000,6392,1956,0,0,0,0,373,1564,4005,0,0,0,163,1,15,7,1,1,0,0,0,0,0
Turkey,TRKY,781000,44736,1775,0,0,0,0,518,1117,7823,0,0,0,1586,57,144,33,6,11,0,0,0,0,1
Tuvalu,TUVA,26,7,1978,1,0,1,0,,2857,0,0,0,0,10,0,1,,,,,,0,0,0
Uganda,UGND,236000,12636,1962,0,0,0,0,20,316,561,1,1,1,304,16,21,8,1,4,0,0,0,1,1
United Arab Emirates,UAE,84000,1042,1971,1,0,0,0,2928,1641,8925,0,0,0,214,12,12,,,,0,0,0,0,0
United Kingdom,UK,244000,55945,1775,1,0,1,0,3455,9562,40396,0,0,0,4396,87,373,37,13,143,0,0,0,0,0
United States,USA,9.40E+06,227757,1776,0,0,1,0,7283,20978,66298,0,0,0,30513,2345,2633,50,7,581,0,0,0,0,0
Uruguay,URGY,176000,2853,1828,0,0,0,0,672,5839,12723,0,0,0,152,4,12,0.01,0.01,3,0,0,0,0,0
Vanuatu,VANU,12190,114,1980,0,0,0,0,,2017,0,0,0,0,31,0,10,,,,,,,,0
Vatican,VATI,,1,1775,1,1,0,0,,,,0,0,0,563,41,0,,,,0,0,0,0,0
Venda,VEND,,,,0,99,99,0,,,,0,0,0,9,0,2,,,,,,,,
Venezuela,VNZL,912000,13913,1830,0,1,0,0,2362,2560,12362,0,0,0,656,15,36,0.01,0.01,1,0,0,0,0,0
Vietnam,VNM,333000,53807,1954,0,0,0,0,100,650,1626,1,1,1,2518,150,47,40,2,44,0,0,0,0,0
"Vietnam, North",VNMN,,,,99,99,99,99,,,,0,0,0,,,,,,,,,,,
"Vietnam, South",VNMS,,,,99,99,99,99,,,,0,0,0,,,,,,,,,,,
Western Samoa,WSMA,2842,156,1962,1,99,99,0,205,4102,1602,0,0,0,15,0,1,,,,0,0,0,0,0
Yemen,YMN,,,,99,0,1,99,,,,,,0,,,,,,,,,,,
"Yemen, North",YMNS,195000,7885,1918,0,99,99,0,40,329,118,0,0,0,261,4,7,0.01,0.01,1,0,0,0,0,0
"Yemen, South",YMNA,337000,1950,1967,0,99,99,1,,553,1794,0,0,0,43,14,17,0.01,0.01,0.01,0,0,0,0,0
Yugoslavia,YGSL,256000,22344,1878,0,0,0,1,1434,1870,14912,0,0,0,768,56,37,0.01,0.01,7,0,0,0,0,0
Zaire,ZAIR,2.30E+06,27576,1960,0,99,99,0,47,543,29,0,0,0,171,14,9,1,0.01,1,0,0,0,0,0
Zambia,ZMBA,753000,5661,1964,0,0,1,0,329,457,1148,0,0,0,183,4,14,1,0.01,7,0,0,0,0,0
Zanzibar,ZANZ,,,,0,99,99,0,,,,0,0,0,18,0,0,,,,,,,,
Zimbabwe,ZIMB,391000,7286,1980,0,0,1,0,436,343,1043,1,0,1,535,34,107,,,,,,,,0
